# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	ra	dec
7158	99	26.082	24.96	99	0.146	0.023	76.82760605	-67.47699497
2778	99	25.77	24.921	99	99	0.047	76.7882482	-67.47922708
2208	25.997	25.111	23.898	0.029	0.053	0.004	76.78253573	-67.47955068
14916	99	25.694	24.539	99	99	0.071	76.88235575	-67.47386247
26712	26.136	25.57	24.278	99	0.076	0.044	76.93125906	-67.4710503
2133	99	25.771	24.333	99	0.169	0.008	76.78182207	-67.47958588
25451	99	26.515	25.16	99	99	0.082	76.92718822	-67.47128276
31955	26.769	99	25.949	99	99	99	76.94845805	-67.47005644
14682	99	26.083	24.988	99	99	99	76.88086357	-67.4739385
14842	24.595	24.053	23.176	0.061	0.058	0.04	76.88189509	-67.47387829
35705	99	25.558	24.379	99	0.025	0.043	76.96217137	-67.46925809
6779	26.071	24.681	22.171	99	0.014	99	76.82463312	-67.47714598
2558	99	25.833	24.59	99	0.12	0.01	76.78617393	-67.4793302
24623	24.608	23.913	23.022	0.05	0.065	0.016	76.92437494	-67.47143505
11463	99	26.64	25.306	99	99	0.06	76.85986998	-67.47513464
5413	26.023	25.368	24.178	99	0.067	0.08	76.8123781	-67.47784016
15695	99	26.213	25.055	99	99	99	76.88668978	-67.47359808
17633	99	26.253	25.163	99	99	99	76.89667365	-67.4730246
29470	99	25.709	24.479	99	0.017	99	76.94015265	-67.47052136
29791	99	25.706	24.466	99	0.079	0.092	76.94112659	-67.47046274
36573	24.302	23.728	23.007	0.008	0.023	0.022	76.96575068	-67.46904046
3686	99	25.659	24.413	99	0.064	0.092	76.79636498	-67.47874342
2881	99	25.41	24.301	99	0.064	0.048	76.78903636	-67.47915705
24975	22.209	17.681	14.088	0.017	0.021	0.054	76.92552815	-67.47135821
11266	99	26.321	25.002	99	99	0.03	76.85858965	-67.47519723
24121	26.582	25.709	24.532	0.153	0.099	0.034	76.92259085	-67.47152595
3242	99	25.739	24.491	99	0.036	0.03	76.79232748	-67.47896788
5820	26.371	25.14	24.121	99	0.108	99	76.81581453	-67.47762789
22950	26.509	25.866	25.072	99	99	0.117	76.91836668	-67.47175554
7083	22.418	21.823	21.017	0.022	0.031	0.041	76.82684841	-67.47699296
29420	99	26.081	24.969	99	99	0.187	76.93986315	-67.47051458
18664	23.359	22.976	22.264	0.014	0.025	0.011	76.90137711	-67.47272759
20100	24.458	23.795	22.953	0.017	0.036	0.039	76.90755656	-67.47237067
33465	99	26.243	24.812	99	99	0.136	76.95364026	-67.46971608
17356	25.591	24.965	23.815	0.019	0.055	0.031	76.89517483	-67.47308057
19837	25.522	24.623	23.747	99	0.051	0.034	76.90646393	-67.47243111
18251	99	26.231	25.104	99	99	0.091	76.89940197	-67.47283497
31794	25.464	24.859	23.911	99	0.015	0.002	76.94777637	-67.47005051
21324	24.099	23.565	22.804	0.033	0.007	0.011	76.91256076	-67.4720784
17569	25.531	24.94	23.916	0.059	0.069	0.037	76.89625473	-67.47301349
10466	23.07	22.63	22.046	0.001	0.023	0.024	76.85308036	-67.47548468
22959	99	25.893	25.072	99	0.041	0.117	76.91836932	-67.47174226
11339	25.331	24.548	23.415	0.059	0.066	0.053	76.85896826	-67.47514735
24616	22.908	22.442	21.788	0.017	0.012	0.013	76.9242079	-67.47140295
5628	21.102	20.78	20.382	0.012	0.001	0.057	76.81417394	-67.4776976
21139	99	26.072	24.691	99	0.091	0.078	76.91184901	-67.47211353
12854	20.901	20.6	20.186	0.016	0.023	0.015	76.86932202	-67.47455215
31409	99	26.2	24.867	99	99	0.088	76.94631113	-67.47012806
5186	25.778	26.152	99	99	99	99	76.81023118	-67.47792037
5804	24.022	23.491	22.739	0.034	0.03	0.013	76.81562783	-67.4776136
11298	25.815	24.842	23.863	0.106	0.006	0.061	76.85869371	-67.47515803
4859	26.183	25.154	24.132	99	0.092	0.016	76.80735611	-67.47808294
17167	23.557	23.094	22.344	0.023	0.019	99	76.89421789	-67.47312279
2335	23.245	22.717	21.943	0.009	0.013	0.008	76.78370251	-67.47942209
14638	26.128	25.445	23.903	99	99	99	76.88041748	-67.47391133
31966	99	26.856	24.928	99	99	0.13	76.94830928	-67.47000663
23071	99	25.827	24.635	99	0.138	0.128	76.91869375	-67.47171225
5962	24.021	23.568	22.758	0.013	0.044	0.052	76.81706399	-67.47752359
20666	23.983	23.478	22.799	0.03	0.009	99	76.90989113	-67.47221594
22363	23.556	22.957	21.969	99	99	99	76.91625762	-67.47184993
5248	22.908	22.446	21.847	0.024	0.02	0.008	76.81073823	-67.47788177
34923	26.329	25.648	24.456	99	0.103	0.02	76.95881993	-67.46939161
5622	99	21.013	20.869	99	0.02	99	76.81407514	-67.47768687
6520	25.138	24.392	23.526	0.118	0.03	0.04	76.82198972	-67.4772357
16460	25.132	24.27	23.277	0.044	0.04	0.015	76.89046765	-67.47331698
30714	99	23.913	22.829	99	99	99	76.94392633	-67.47024007
13442	25.741	24.899	23.752	0.089	0.036	0.01	76.87311454	-67.47430811
10550	26.054	24.931	23.922	0.172	99	0.044	76.85352854	-67.47542706
21446	99	26.205	24.632	99	99	0.065	76.91290106	-67.47202514
6414	24.836	24.187	23.414	0.028	0.019	99	76.82107238	-67.47727634
15645	99	26.15	24.495	99	99	99	76.88616693	-67.47355798
11588	25.107	24.318	23.421	0.016	99	0.023	76.86043384	-67.47502222
33575	99	25.685	24.461	99	0.037	0.045	76.95383969	-67.46965551
16015	24.971	24.405	23.465	99	0.041	0.016	76.88815101	-67.47343468
3413	99	26.05	24.625	99	0.038	0.024	76.79350361	-67.47883057
18857	26.176	24.892	24.461	99	0.659	0.073	76.90200217	-67.47263853
30744	24.064	23.451	22.629	0.057	0.069	0.011	76.94398583	-67.47022007
22140	25.99	25.149	23.945	0.01	0.085	99	76.91532136	-67.47187074
27852	24.372	23.745	22.919	0.029	0.012	0.013	76.93462887	-67.47075903
10386	99	26.296	25.105	99	99	99	76.85237129	-67.47547768
22815	99	26.243	24.647	99	99	99	76.91770859	-67.47173199
18454	25.422	24.787	23.627	99	0.108	0.021	76.90020599	-67.47273732
20501	25.201	24.298	99	99	0.047	99	76.9091317	-67.47222422
9802	18.733	18.74	18.734	0.004	0.014	0.011	76.84787324	-67.47573111
15865	24.031	23.475	22.725	99	0.018	0.001	76.8872406	-67.47347786
7345	26.465	25.514	24.33	99	99	0.031	76.82881464	-67.47681539
16257	24.787	24.11	23.3	0.082	0.007	0.014	76.88943371	-67.47335013
12796	99	25.611	24.349	99	99	99	76.86874459	-67.47453358
17580	24.616	23.908	23.174	0.02	0.018	0.01	76.89611912	-67.47296143
15570	25.138	24.601	23.539	0.02	0.255	0.022	76.8855491	-67.47356459
20768	23.905	23.26	22.396	0.038	0.019	0.018	76.91019415	-67.47214903
11684	21.857	21.501	20.998	0.007	0.013	0.012	76.86103442	-67.4749631
12974	24.354	23.754	22.868	0.035	0.027	0.036	76.8699253	-67.47445457
6845	26.542	25.664	24.447	99	0.086	0.006	76.82485873	-67.47702483
4195	23.901	23.334	22.625	0.018	0.024	0.015	76.80089515	-67.47838624
17758	22.912	22.444	21.747	0.033	0.013	0.014	76.89689814	-67.47290672
10227	24.356	23.854	23.017	0.026	0.018	0.015	76.85111893	-67.47552639
20727	24.564	24.001	23.101	0.018	0.016	0.008	76.91000648	-67.47215314
15005	25.631	24.566	23.518	0.002	0.045	0.041	76.88239388	-67.47373627
5709	26.537	25.523	24.553	99	0.249	0.001	76.81452068	-67.47760793
21082	26.59	25.867	99	99	0.035	99	76.91137702	-67.4720707
30233	99	26.149	25.564	99	0.091	0.056	76.9422544	-67.47029258
18421	23.704	23.159	22.449	0.037	0.015	0.041	76.89991534	-67.47272831
21076	99	25.867	24.347	99	0.035	0.146	76.91134337	-67.47207152
5931	26.136	25.429	24.491	99	0.064	0.007	76.81653398	-67.47749168
12387	99	26.076	24.784	99	0.182	0.056	76.86596802	-67.47466925
4482	99	26.069	24.896	99	0.038	0.084	76.8034779	-67.47822737
19219	99	25.946	24.658	99	99	0.01	76.90343155	-67.47251941
19349	99	26.362	24.989	99	99	0.008	76.90399844	-67.47248575
12907	24.606	24.082	23.224	0.078	0.043	0.016	76.86939013	-67.47446918
35551	26.71	26.155	24.478	99	99	0.006	76.96101812	-67.46919882
5768	20.26	20.012	19.65	0.01	0.003	0.004	76.81503613	-67.47756784
27491	23.838	23.319	22.595	0.025	0.002	0.005	76.93329772	-67.47079592
6569	25.81	25.173	24.118	99	99	0.016	76.82226913	-67.47715219
10940	99	25.416	24.405	99	99	0.054	76.85595316	-67.4752283
35566	99	25.945	24.478	99	0.138	0.006	76.96104379	-67.46918955
16678	99	26.36	25.41	99	99	99	76.89152001	-67.47319201
20691	26.092	25.424	24.142	0.206	0.011	0.073	76.90974814	-67.47214363
24668	24.826	24.058	23.22	99	0.002	99	76.92405818	-67.47132025
18778	25.081	24.455	23.669	0.084	0.108	0.003	76.90146503	-67.47261688
23753	99	26.496	25.512	99	99	0.244	76.92086602	-67.4715014
29206	25.662	24.735	23.734	99	0.074	0.021	76.93874014	-67.47046787
27420	99	25.964	24.736	99	0.114	0.045	76.93299095	-67.47079913
35341	99	26.2	25.298	99	99	0.143	76.96011517	-67.46922965
5012	99	23.816	21.953	99	99	99	76.80836352	-67.47792552
7298	19.992	19.999	19.995	0.008	0.011	0.007	76.82826865	-67.47679321
5736	99	25.249	24.194	99	0.104	0.046	76.81468008	-67.47756229
9778	99	25.236	24.19	99	0.119	99	76.84744982	-67.47569567
2645	26.991	26.402	99	99	99	99	76.78650493	-67.47915821
26452	99	25.267	24.301	99	99	0.052	76.92989614	-67.47096407
12075	21.711	21.454	21.018	0.008	0.014	0.006	76.86375971	-67.47475904
9103	99	25.598	24.216	99	0.067	0.075	76.84230358	-67.47598304
36109	24.427	23.72	23.028	0.029	0.028	0.028	76.96326062	-67.46903681
7417	21.33	20.53	19.479	0.006	0.019	0.022	76.82904372	-67.47673239
22907	23.865	25.188	23.582	99	0.027	0.016	76.91776005	-67.4716544
11944	24.31	23.726	22.982	0.022	0.017	0.029	76.86274643	-67.47480807
