# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	vsini	vsini uperr	vsini loerr	ra	dec
27422	20.02	19.714	19.315	0.014	0.003	0.017	1.95998161	20700800612	61290938064	76.90002818	-67.46314099
27677	18.418	17.022	15.497	0.008	0.01	0.022	3.990500257	138.9691339	405.8162743	76.87622353	-67.45735671
27710	20.899	20.636	20.261	0.004	0.011	0.009	9.992988277	52.15218028	146.0334183	76.90314915	-67.46359028
27687	20.823	20.592	20.271	0.007	0.006	0.007	2.810997447	1031.958109	3037.857695	76.88324115	-67.45898153
27709	19.632	18.637	17.448	0.004	0.012	0.024	7.295728529	19.50576241	55.67111228	76.8784184	-67.45783922
27774	19.995	19.148	18.128	0.005	0.006	0.011	5.256472416	291.8017986	844.7284336	76.89048605	-67.46057783
27837	19.741	18.878	17.841	0.002	0.006	0.015	5.296818615	90.38060773	261.5672295	76.90739299	-67.46445015
27859	19.387	18.394	17.24	0.011	0.006	0.017	6.10425711	88.90244066	255.8536549	76.89178848	-67.46079818
28060	18.186	16.61	14.79	0.009	0.006	0.038	7.335853262	41.44210386	118.2460477	76.9026952	-67.46315375
28104	21.296	20.521	19.555	0.014	0.003	0.008	4.178084567	145.2822681	423.7067722	76.89851437	-67.46214212
28126	19.069	18.043	16.836	0.002	0.03	0.01	4.469718531	74.89381373	217.9863559	76.88176907	-67.45822831
28154	19.945	19.096	18.086	0.004	0.008	0.014	7.796931297	23.39176281	66.52760907	76.88889671	-67.45986108
28311	21.287	20.963	20.599	0.017	0.018	0.013	6.041699646	120.8777503	348.0271096	76.87334655	-67.45609878
28381	19.515	19.387	19.181	0.007	0.009	0.022	1.815915119	19503518839	57802221823	76.90954524	-67.46444557
28440	18.588	17.329	15.933	0.002	0.011	0.012	6.745710782	58.44653725	167.454343	76.88208075	-67.45800167
28597	20.061	19.215	18.206	0.009	0.016	0.023	6.367782324	139.7128408	401.3453031	76.8973928	-67.46142781
28659	20.544	19.682	18.645	0.019	0.007	0.011	4.434719362	249.0614338	725.0939501	76.91415086	-67.46527203
28642	20.634	20.366	19.988	0.007	0.006	0.018	7.583984272	154.5783612	440.2886863	76.89965378	-67.46191229
28649	21.22	20.953	20.542	0.009	0.015	0.004	5.484987452	425.0693139	1228.577945	76.89367836	-67.46051966
28724	20.571	19.724	18.698	0.007	0.006	0.016	9.249120268	16.6635644	46.90822698	76.90442204	-67.46294632
28943	21.336	20.526	19.569	0.008	0.02	0.039	9.628738679	27.464719	77.10514496	76.89212028	-67.45988767
28904	20.572	20.372	20.012	0.008	0.006	0.015	3.596291627	251.4971488	736.4023046	76.9009088	-67.46197379
28880	19.832	18.871	17.758	0.014	0.005	0.012	7.101371903	15.47519112	44.22767161	76.89286443	-67.46012291
28975	18.187	16.648	14.987	0.003	0.008	0.028	3.255364508	626.4979607	1838.704298	76.88989326	-67.45933387
29072	20.421	20.104	19.695	0.012	0.012	0.028	4.954764704	650.5976556	1887.321801	76.8845622	-67.45800165
29145	19.778	18.898	17.871	0.007	0.01	0.021	4.57267031	100.322936	291.7939337	76.88198749	-67.4573379
29250	20.032	19.08	17.988	0.01	0.008	0.016	8.731615888	21.3055161	60.19591664	76.88537239	-67.45801914
29213	20.889	20.608	20.231	0.007	0.015	0.017	4.794274112	355.5390582	1032.526141	76.90459471	-67.46253008
29300	19.733	18.858	17.821	0.015	0.011	0.008	5.470459054	117.1185957	338.5419375	76.88219775	-67.45722541
29301	20.187	19.269	18.195	0.006	0.005	0.013	8.701478203	18.31689122	51.76299307	76.89860122	-67.46104054
29509	20.696	20.368	19.924	0.004	0.014	0.007	8.773334094	35.05473896	99.01327814	76.89722012	-67.46051666
29726	20.903	20.611	20.223	0.012	0.008	0.013	6.283125858	121.2814878	348.6039265	76.89273463	-67.45927426
29840	21.081	20.821	20.504	0.011	0.019	0.011	9.410102561	82.27465149	231.3396963	76.88594292	-67.45759647
29824	20.034	19.186	18.173	0.01	0.008	0.015	7.747011277	29.44515214	83.7732179	76.89139682	-67.45887321
29880	19.965	19.125	18.106	0.005	0.016	0.019	5.249703109	152.978346	442.8732201	76.89362417	-67.45935211
29954	20.479	20.215	19.822	0.002	0.014	0.024	5.985022242	313.975234	904.3427267	76.8941373	-67.45939184
29898	21.843	21.532	20.95	0.01	0.02	0.05	6.20979704	383.6355385	1103.260639	76.91082275	-67.463331
