# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	vsini	vsini uperr	vsini loerr	ra	dec
23871	20.346	20.049	19.613	0.013	0.008	0.016	61.74994635	7.864152052	13.88023681	76.90259801	-67.46714789
23829	21.855	21.55	21.121	0.009	0.009	0.008	135.166431	25.15729238	25.15729238	76.87085043	-67.45980311
23878	20.71	20.367	19.888	0.017	0.008	0.014	153.0298929	10.63171325	10.63171325	76.88720009	-67.46356419
23877	21.891	21.592	21.13	0.019	0.024	0.01	97.7919332	26.7954192	27.97874071	76.90358239	-67.46737231
23890	20.637	20.352	19.953	0.009	0.011	0.014	34.68354613	15.16482404	34.97507463	76.87808784	-67.46143284
23908	21.786	21.484	21.037	0.004	0.005	0.011	57.47583122	28.23544531	52.24922215	76.88059205	-67.46199315
23894	20.896	20.548	20.032	0.006	0.012	0.012	149.7719063	10.31303326	10.31303326	76.87682525	-67.46113569
23914	20.849	20.6	20.23	0.013	0.01	0.008	53.74463762	24.8306186	47.80160383	76.87948186	-67.46172611
23924	20.582	20.254	19.773	0.002	0.009	0.017	98.74292596	13.49094179	13.83012404	76.87848254	-67.46148585
23916	21.157	20.819	20.336	0.01	0.013	0.024	188.234335	22.15983761	22.15983761	76.88382588	-67.46273484
23903	20.716	20.471	20.124	0.013	0.01	0.019	69.39769287	17.90538205	28.86430206	76.89342185	-67.4649812
23927	21.113	20.765	20.289	0.005	0.012	0.017	197.1823754	26.08622903	26.08622903	76.87983328	-67.46179684
23875	21.568	21.213	20.709	0.014	0.011	0.015	102.5089691	14.26571574	14.26571574	76.88907633	-67.46400369
23933	20.743	20.399	19.912	0.017	0.009	0.03	145.3141564	10.12671098	10.12671098	76.87366012	-67.46035537
23823	19.95	19.1	18.105	0.004	0.009	0.026	26.44650647	4.362610507	10.78031538	76.87632584	-67.46108722
23981	21.231	20.923	20.48	0.024	0.015	0.011	165.0775854	19.2425966	19.2425966	76.88835939	-67.4637157
23991	20.336	20.041	19.592	0.009	0.015	0.017	49.03505438	10.84573369	21.90077825	76.89948442	-67.46628437
24006	20.492	20.201	19.78	0.018	0.014	0.016	90.77554715	8.46883802	10.03124596	76.88891501	-67.46381352
24012	20.499	20.167	19.695	0.01	0.013	0.032	104.3237969	9.792108339	9.792108339	76.89091477	-67.46426594
23994	20.697	20.465	20.096	0.009	0.015	0.026	91.21795877	16.94005806	19.91542383	76.87586292	-67.46078998
23961	21.62	21.345	20.903	0.006	0.015	0.014	133.6718023	37.17751742	37.17751742	76.89863713	-67.46612825
24019	21.14	20.861	20.462	0.012	0.005	0.014	156.0347681	15.17952751	15.17952751	76.87157479	-67.45976186
24036	21.105	20.763	20.267	0.02	0.027	0.075	130.4147555	25.00258758	25.00258758	76.89391155	-67.46494432
24060	21.236	20.908	20.456	0.01	0.008	0.009	18.16810832	39.406422	103.9004631	76.88238044	-67.46223945
24038	20.879	20.554	20.067	0.007	0.012	0.011	132.137985	17.31294342	17.31294342	76.89575359	-67.46537137
24081	21.058	20.778	20.343	0.009	0.011	0.015	156.6534215	17.87408799	17.87408799	76.89177559	-67.46440208
24030	21.5	21.224	20.834	0.016	0.013	0.018	19.1161262	59.20229858	154.9725235	76.88976725	-67.46399164
24089	21.994	21.668	21.216	0.009	0.003	0.018	83.47287004	26.36407577	35.0785259	76.90660207	-67.46784295
24134	21.323	21.052	20.675	0.004	0.008	0.017	128.0786381	32.4020309	32.4020309	76.87286093	-67.4599508
24153	22.024	21.652	21.14	0.023	0.013	0.022	18.73133247	53.33301679	140.019081	76.88042968	-67.46168403
24161	19.452	18.401	17.191	0.015	0.009	0.017	19.90929275	4.602541074	11.97495647	76.89981518	-67.4661883
24148	20.399	20.107	19.644	0.021	0.009	0.013	117.9436844	9.999675043	9.999675043	76.88420205	-67.46256924
24142	20.897	20.635	20.224	0.009	0.016	0.061	63.82623808	12.17109314	20.97657765	76.87224856	-67.45979702
24064	18.517	17.116	15.589	0.003	0.012	0.015	15.42091041	6.113655841	16.45540474	76.87908296	-67.46146891
24232	21.068	20.768	20.328	0.012	0.011	0.019	106.6744228	14.98880726	14.98880726	76.8746969	-67.46027519
24174	21.447	21.037	20.505	0.021	0.01	0.024	49.89427279	16.94426164	33.92435266	76.88948542	-67.46377157
24169	21.132	20.827	20.384	0.011	0.007	0.017	155.5678866	18.81952694	18.81952694	76.89277869	-67.46454206
24204	20.843	20.549	20.13	0.003	0.007	0.02	125.2004088	34.99066483	34.99066483	76.88985578	-67.46382151
24217	20.676	19.811	18.778	0.014	0.005	0.016	24.89915388	7.013845769	17.5487608	76.88127476	-67.46181744
24179	20.281	19.968	19.537	0.011	0.011	0.022	78.2026765	7.318462033	10.50891972	76.87574171	-67.46056614
24235	21.304	21.04	20.636	0.007	0.025	0.014	53.02567425	28.95916213	56.16590443	76.88688301	-67.46310878
24225	21.176	20.88	20.439	0.006	0.012	0.001	23.9879466	20.68582332	52.13326146	76.90360741	-67.4670007
24172	21.101	20.799	20.352	0.015	0.01	0.022	176.8890357	19.9208408	19.9208408	76.87689789	-67.46084424
24241	22.498	22.109	21.58	0.017	0.02	0.005	94.8625259	29.42580483	32.44929103	76.87094638	-67.45939633
24239	21.198	20.943	20.571	0.01	0.021	0.037	92.60741007	20.95167164	24.04941398	76.899124	-67.46595192
24218	20.588	20.259	19.779	0.007	0.007	0.021	98.50016131	8.781238595	9.044647422	76.87877543	-67.46123317
24255	21.67	21.337	20.916	0.012	0.007	0.039	77.14492791	24.78071909	36.10802151	76.88268016	-67.46210993
24263	20.455	19.93	19.228	0.006	0.014	0.011	60.37872138	8.629949064	15.46854139	76.89263866	-67.46442208
24249	21.54	21.243	20.853	0.003	0.01	0.011	48.55486597	26.06636086	52.88610942	76.88303004	-67.46219899
24272	21.899	21.608	21.165	0.008	0.006	0.006	17.39518569	81.78740435	216.9080713	76.91226208	-67.46897009
